22-caliber,22calibre-22caliber-22calibre
ailuropodidae,familyailuropodidae-ailuropodidae
ailurus,genusailurus-ailurus
air-combat-command,acc-aircombatcommand
air-corps,aircorps
air-force-intelligence-surveillance-and-reconnaissance,airforceisr-afisr-airforceintelligencesurveillanceandreconnaissance
air-force-research-laboratory,afrl-airforceresearchlaboratory
air-force-space-command,afspc-airforcespacecommand
air-medal,airmedal
air-national-guard,ang-airnationalguard
aire,aire-riveraire-aireriver
airedale,airedaleterrier-airedale
aix,aix-genusaix
aizoaceae,aizoaceae-carpetweedfamily-familytetragoniaceae-familyaizoaceae-tetragoniaceae
ajaia,ajaia-genusajaia
ajuga,genusajuga-ajuga
akeridae,familyakeridae-akeridae
akhenaton,akhenaton-ikhanaton-akhenaten-amenhotepiv
aksa-martyrs-brigades,aksamartyrsbrigades-alaksamartyrsbrigades-martyrsofalaqsa
al-aqabah,akaba-aqaba-alaqabah
al-ladhiqiyah,latakia-alladhiqiyah
al-nathir,alnathir
alabama,ala-camelliastate-al-alabama-heartofdixie
alabama,alabama-alabamariver
alabaman,alabaman-alabamian
aladdins-lamp,aladdinslamp
aland-islands,alandislands-ahvenanmaa-aalandislands
alar,daminozide-alar
alaska,alaska-lastfrontier-ak
alaska-native,nativealaskan-alaskannative-alaskanative
alaska-peninsula,alaskapeninsula
alaska-range,alaskarange
alaska-standard-time,alaskastandardtime-yukontime
alaska-fur-seal,alaskafurseal-callorhinusursinus
alaska-king-crab,alaskacrab-alaskankingcrab-kingcrab-alaskakingcrab
alaska-rein-orchid,habenariaunalascensis-alaskareinorchid
alaskan-brown-bear,kodiakbear-alaskanbrownbear-kodiak-ursusmiddendorffi-ursusarctosmiddendorffi
alaskan-pipeline,transalaskapipeline-alaskanpipeline
alauda,alauda-genusalauda
alaudidae,familyalaudidae-alaudidae
albania,albania-republicofalbania
albanian-monetary-unit,albanianmonetaryunit
albany,capitalofnewyork-albany
albatrellus,genusalbatrellus-albatrellus
albatrellus-dispansus,albatrellusdispansus
albatrellus-ovinus,albatrellusovinus-sheeppolypore
albee,albee-edwardfranklinalbeen-edwardalbee
albers,josefalbers-albers
albert,albert-albertfrancischarlesaugustusemmanuel-princealbert
alberti,alberti-leonbattistaalberti
albigenses,cathari-cathars-albigenses
albigensianism,catharism-albigensianism
albrights-disease,albrightsdisease-polyostoticfibrousdysplasia
albuginaceae,albuginaceae-familyalbuginaceae
albugo,albugo-genusalbugo
albula,genusalbula-albula
albulidae,familyalbulidae-albulidae
alca,alca-genusalca
alcaic,alcaicverse-alcaic
alcea,genusalcea-alcea
alcedinidae,familyalcedinidae-alcedinidae
alcedo,alcedo-genusalcedo
alcelaphus,genusalcelaphus-alcelaphus
alces,genusalces-alces
alcidae,familyalcidae-alcidae
alcoholics-anonymous,aa-alcoholicsanonymous
alcott,louisamayalcott-alcott
alcyonacea,suborderalcyonacea-alcyonacea
alcyonaria,alcyonaria-orderalcyonaria
alcyone,halcyon-alcyone
aldrovanda,genusaldrovanda-aldrovanda
alectis,genusalectis-alectis
alectoria,alectoria-genusalectoria
alectoris,alectoris-genusalectoris
alectura,genusalectura-alectura
alepisaurus,alepisaurus-genusalepisaurus
aletris,genusaletris-aletris
aleuria-aurantia,aleuriaaurantia-orangepeelfungus
aleurites,aleurites-genusaleurites
aleut,aleut-aleutian
aleutian-islands,aleutianislands-aleutians
alex-boncayao-brigade,abb-rpaabb-revolutionaryproletarianarmy-alexboncayaobrigade
alexander,alexanderthegreat-alexander
alexander,horseparsley-alexanders-smyrniumolusatrum-alexander-blacklovage
alexander-archipelago,alexanderarchipelago
alexander-iii,czaralexanderiii-alexanderiii
alexander-ii,alexandertheliberator-czaralexanderii-alexanderii
alexander-i,aleksandrpavlovich-alexanderi-czaralexanderi
alexander-vi,popealexandervi-borgia-alexandervi-rodrigoborgia
alexandria,eliskandriyah-alexandria
alexandria-senna,sennaalexandrina-alexandriansenna-cassiaaugustifolia-truesenna-alexandriasenna-cassiaacutifolia-indiansenna-tinnevellysenna
